title,subtitle,authors,narrators,series,length,release_date,language,rating,no_of_ratings,regular_price,sales_price,category,genres,url
Christmas Karol,,['Faith Moore'],['Amanda SanFilippo'],,Length: 9 hrs and 17 mins,Release date: 11-09-23,Language: English,4.5 out of 5 stars,20 ratings,$17.49,,,[],https://www.audible.com/pd/Christmas-Karol-Audiobook/B0CMV7N13F?qid=1702035904&sr=1-344&ref_pageloadid=oTZP55QoBkj9Fbtj&ref=a_search_c3_lProduct_7_44&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=7V3EXN0SCHF5XJFBJV66&pageLoadId=AuYdGkzRLCGGGtkN&ref_plink=not_applicable&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Warriors of Luxiria Boxed Set,Books 5-8,['Zoey Draven'],"['Sierra Grace', 'Tristan Josiah']",Warriors of Luxiria,Length: 33 hrs and 39 mins,Release date: 10-19-23,Language: English,5 out of 5 stars,8 ratings,$29.95,,,[],https://www.audible.com/pd/Warriors-of-Luxiria-Boxed-Set-Audiobook/B0CLDBGZ4C?qid=1702035904&sr=1-345&ref_pageloadid=oTZP55QoBkj9Fbtj&ref=a_search_c3_lProduct_7_45&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=7V3EXN0SCHF5XJFBJV66&pageLoadId=AuYdGkzRLCGGGtkN&ref_plink=not_applicable&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Payback Princess,"Lost Daughter of a Serial Killer, Book 2",['C.M. Stunich'],"['Erin Quinn', 'Grayson Owens']",Lost Daughter of a Serial Killer Series,Length: 25 hrs,Release date: 10-19-23,Language: English,5 out of 5 stars,8 ratings,$29.95,,,[],https://www.audible.com/pd/Payback-Princess-Audiobook/B0CLD99VTY?qid=1702035904&sr=1-346&ref_pageloadid=oTZP55QoBkj9Fbtj&ref=a_search_c3_lProduct_7_46&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=7V3EXN0SCHF5XJFBJV66&pageLoadId=AuYdGkzRLCGGGtkN&ref_plink=not_applicable&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Travis,,['C.J. Petit'],['Michael Alan White'],,Length: 11 hrs and 48 mins,Release date: 11-16-23,Language: English,5 out of 5 stars,8 ratings,$24.95,,,[],https://www.audible.com/pd/Travis-Audiobook/B0CNFCSLWP?qid=1702035904&sr=1-347&ref_pageloadid=oTZP55QoBkj9Fbtj&ref=a_search_c3_lProduct_7_47&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=7V3EXN0SCHF5XJFBJV66&pageLoadId=AuYdGkzRLCGGGtkN&ref_plink=not_applicable&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
"Bedtime Stories for Kids, 3 in 1 Bundle","35+ Meditative Fables & Fairy Tales to Calm, Relax, and Ensure a Restful Sleep for Your Children",['Natalie Jennifer'],"['Natalie Jennifer', 'Martha Stella']",,Length: 20 hrs and 46 mins,Release date: 11-15-23,Language: English,5 out of 5 stars,8 ratings,$29.95,,,[],https://www.audible.com/pd/Bedtime-Stories-for-Kids-3-in-1-Bundle-Audiobook/B0CN9RK2Z1?qid=1702035904&sr=1-348&ref_pageloadid=oTZP55QoBkj9Fbtj&ref=a_search_c3_lProduct_7_48&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=7V3EXN0SCHF5XJFBJV66&pageLoadId=AuYdGkzRLCGGGtkN&ref_plink=not_applicable&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Social Media Marketing for Beginners,"Unleashing the Power of Digital Marketing, Build a Strong Online Presence of Your Business (How to Make Money, Book 15)","['Blake Preston', 'Brian Scott Fitzgerald']",['Tom Brooks'],,Length: 3 hrs and 13 mins,Release date: 10-24-23,Language: English,5 out of 5 stars,8 ratings,$14.95,,,[],https://www.audible.com/pd/Social-Media-Marketing-for-Beginners-Audiobook/B0CLLN2852?qid=1702035904&sr=1-349&ref_pageloadid=oTZP55QoBkj9Fbtj&ref=a_search_c3_lProduct_7_49&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=7V3EXN0SCHF5XJFBJV66&pageLoadId=AuYdGkzRLCGGGtkN&ref_plink=not_applicable&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
California Tax Lien and Deed Investing Book,Buying Real Estate Investment Property for Beginners,['Brian Mahoney'],['Brian Mahoney'],,Length: 1 hr and 15 mins,Release date: 10-30-23,Language: English,5 out of 5 stars,8 ratings,$6.95,,,[],https://www.audible.com/pd/California-Tax-Lien-and-Deed-Investing-Book-Audiobook/B0CLYT3N74?qid=1702035904&sr=1-350&ref_pageloadid=oTZP55QoBkj9Fbtj&ref=a_search_c3_lProduct_7_50&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=7V3EXN0SCHF5XJFBJV66&pageLoadId=AuYdGkzRLCGGGtkN&ref_plink=not_applicable&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Endangered Species,"Time Served, Book 1",['Onley James'],['Liam DiCosimo'],Time Served,Length: 6 hrs and 7 mins,Release date: 11-21-23,Language: English,5 out of 5 stars,12 ratings,$19.95,,,[],https://www.audible.com/pd/Endangered-Species-Audiobook/B0CNSDR9TF?qid=1702035934&sr=1-351&ref_pageloadid=AuYdGkzRLCGGGtkN&ref=a_search_c3_lProduct_8_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=5RH4X4CBQ3XP6F5FRWER&pageLoadId=3srdR3f8JWouQySi&ref_plink=not_applicable&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Searching for Justice,"Redwood Coast Rescue, Book 3",['Tonya Burrows'],['Stephen Borne'],Redwood Coast Rescue,Length: 9 hrs and 47 mins,Release date: 11-10-23,Language: English,5 out of 5 stars,12 ratings,$19.95,,,[],https://www.audible.com/pd/Searching-for-Justice-Audiobook/B0CN1Z638S?qid=1702035934&sr=1-352&ref_pageloadid=AuYdGkzRLCGGGtkN&ref=a_search_c3_lProduct_8_2&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=5RH4X4CBQ3XP6F5FRWER&pageLoadId=3srdR3f8JWouQySi&ref_plink=not_applicable&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
The Coffin Hotel Omnibus: Books 1-3,,['Erik Weir'],"['Melisandre Verte', ""Ron d'Vous""]",Coffin Hotel,Length: 25 hrs and 56 mins,Release date: 10-12-23,Language: English,5 out of 5 stars,12 ratings,$48.99,,,[],https://www.audible.com/pd/The-Coffin-Hotel-Omnibus-Books-1-3-Audiobook/B0CKWTV5XB?qid=1702035934&sr=1-353&ref_pageloadid=AuYdGkzRLCGGGtkN&ref=a_search_c3_lProduct_8_3&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=5RH4X4CBQ3XP6F5FRWER&pageLoadId=3srdR3f8JWouQySi&ref_plink=not_applicable&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
One Dirty Night,,['Pepper Winters'],"['Tor Thom', 'Fiona Clare']",,Length: 8 hrs and 53 mins,Release date: 11-06-23,Language: English,4.5 out of 5 stars,15 ratings,$19.95,,,[],https://www.audible.com/pd/One-Dirty-Night-Audiobook/B0CMRJDR4B?qid=1702035934&sr=1-354&ref_pageloadid=AuYdGkzRLCGGGtkN&ref=a_search_c3_lProduct_8_4&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=5RH4X4CBQ3XP6F5FRWER&pageLoadId=3srdR3f8JWouQySi&ref_plink=not_applicable&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
The Lost Fiancé Twist,,['Ana Ashley'],['Alexander Cendese'],,Length: 6 hrs and 16 mins,Release date: 10-31-23,Language: English,4.5 out of 5 stars,15 ratings,$19.95,,,[],https://www.audible.com/pd/The-Lost-Fiance-Twist-Audiobook/B0CKZG2ZJ3?qid=1702035934&sr=1-355&ref_pageloadid=AuYdGkzRLCGGGtkN&ref=a_search_c3_lProduct_8_5&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=5RH4X4CBQ3XP6F5FRWER&pageLoadId=3srdR3f8JWouQySi&ref_plink=not_applicable&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Upon Waking,60 Daily Reflections to Discover Ourselves and the God We Were Made For,['Jackie Hill Perry'],['Jackie Hill Perry'],,Length: 3 hrs and 28 mins,Release date: 10-31-23,Language: English,5 out of 5 stars,8 ratings,$16.09,,,[],https://www.audible.com/pd/Upon-Waking-Audiobook/B0CM6XDBTD?qid=1702035934&sr=1-356&ref_pageloadid=AuYdGkzRLCGGGtkN&ref=a_search_c3_lProduct_8_6&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=5RH4X4CBQ3XP6F5FRWER&pageLoadId=3srdR3f8JWouQySi&ref_plink=not_applicable&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
The Days of Lot,A Post-Apocalyptic Tale of the End Times,['Mark Goodwin'],['A.W. Miller'],Days of Lot,Length: 7 hrs and 10 mins,Release date: 12-02-23,Language: English,5 out of 5 stars,8 ratings,$19.95,,,[],https://www.audible.com/pd/The-Days-of-Lot-Audiobook/B0CP9XMBP3?qid=1702035934&sr=1-357&ref_pageloadid=AuYdGkzRLCGGGtkN&ref=a_search_c3_lProduct_8_7&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=5RH4X4CBQ3XP6F5FRWER&pageLoadId=3srdR3f8JWouQySi&ref_plink=not_applicable&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Lady of Ashes,"Lady of Darkness, Book 3",['Melissa Roehrich'],"['Laura Horowitz', 'Gregory Salinas']",Lady of Darkness,Length: 24 hrs and 25 mins,Release date: 11-17-23,Language: English,5 out of 5 stars,8 ratings,$29.95,,,[],https://www.audible.com/pd/Lady-of-Ashes-Audiobook/B0CNJ1R42R?qid=1702035934&sr=1-358&ref_pageloadid=AuYdGkzRLCGGGtkN&ref=a_search_c3_lProduct_8_8&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=5RH4X4CBQ3XP6F5FRWER&pageLoadId=3srdR3f8JWouQySi&ref_plink=not_applicable&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
